"","Primkey","ID","SubID","Location","Side_A","Side_B","Incompability","Territory","Begin","End","Intensity","Type","Startdate","Startprecision","Startdate2","Startprecision2","COW_A","COW_B","COW_location","Continent","Lat","Lon","Radius","Version"
"358.1",231022000,2310,2,"Angola","Angola, Namibia","UNITA",2,"",2000,2001,3,4,"11-Nov-75",2,"11-Nov-75",2,"540,565","","540",4,-10,16,600,1.1
"359",232001975,2320,0,"Cambodia - Vietnam","Cambodia","Vietnam",1,"Common Border",1975,1977,1,2,"01-May-75",1,"01-May-75",1,"811","816","811,816",3,11,106,200,1.1
"359.1",232001975,2320,0,"Cambodia - Vietnam","Cambodia","Vietnam",1,"Common Border",1975,1977,1,2,"01-May-75",1,"01-May-75",1,"811","816","811,816",3,11,106,200,1.1
"359.2",232001975,2320,0,"Cambodia - Vietnam","Cambodia","Vietnam",1,"Common Border",1975,1977,1,2,"01-May-75",1,"01-May-75",1,"811","816","811,816",3,11,106,200,1.1
"360",233001975,2330,0,"Ethiopia","Ethiopia, Cuba","WSLF",1,"Ogaden",1975,1976,1,4,"01-Sep-76",3,"01-Sep-76",3,"530,40","","530",4,7.5,45,300,1.1
"360.1",233001975,2330,0,"Ethiopia","Ethiopia, Cuba","WSLF",1,"Ogaden",1975,1976,1,4,"01-Sep-76",3,"01-Sep-76",3,"530,40","","530",4,7.5,45,300,1.1
"361",233001977,2330,0,"Ethiopia","Ethiopia, Cuba","WSLF",1,"Ogaden",1977,1978,3,4,"01-Sep-76",3,"01-Sep-76",3,"530,40","","530",4,7.5,45,300,1.1
"361.1",233001977,2330,0,"Ethiopia","Ethiopia, Cuba","WSLF",1,"Ogaden",1977,1978,3,4,"01-Sep-76",3,"01-Sep-76",3,"530,40","","530",4,7.5,45,300,1.1
"362",233001979,2330,0,"Ethiopia","Ethiopia, Cuba","WSLF",1,"Ogaden",1979,1983,2,4,"01-Sep-76",3,"01-Sep-76",3,"530,40","","530",4,7.5,45,300,1.1
"362.1",233001979,2330,0,"Ethiopia","Ethiopia, Cuba","WSLF",1,"Ogaden",1979,1983,2,4,"01-Sep-76",3,"01-Sep-76",3,"530,40","","530",4,7.5,45,300,1.1
"362.2",233001979,2330,0,"Ethiopia","Ethiopia, Cuba","WSLF",1,"Ogaden",1979,1983,2,4,"01-Sep-76",3,"01-Sep-76",3,"530,40","","530",4,7.5,45,300,1.1
"362.3",233001979,2330,0,"Ethiopia","Ethiopia, Cuba","WSLF",1,"Ogaden",1979,1983,2,4,"01-Sep-76",3,"01-Sep-76",3,"530,40","","530",4,7.5,45,300,1.1
"362.4",233001979,2330,0,"Ethiopia","Ethiopia, Cuba","WSLF",1,"Ogaden",1979,1983,2,4,"01-Sep-76",3,"01-Sep-76",3,"530,40","","530",4,7.5,45,300,1.1
"363",233011996,2330,1,"Ethiopia","Ethiopia","ONLF",1,"Ogaden",1996,1996,1,3,"01-Jan-96",7,"01-Jan-96",7,"530","","530",4,7.5,45,300,1.1
"364",233011998,2330,1,"Ethiopia","Ethiopia","ONLF",1,"Ogaden",1998,2001,1,3,"01-Jan-96",7,"01-Jan-96",7,"530","","530",4,7.5,45,300,1.1
"364.1",233011998,2330,1,"Ethiopia","Ethiopia","ONLF",1,"Ogaden",1998,2001,1,3,"01-Jan-96",7,"01-Jan-96",7,"530","","530",4,7.5,45,300,1.1
"364.2",233011998,2330,1,"Ethiopia","Ethiopia","ONLF",1,"Ogaden",1998,2001,1,3,"01-Jan-96",7,"01-Jan-96",7,"530","","530",4,7.5,45,300,1.1
"364.3",233011998,2330,1,"Ethiopia","Ethiopia","ONLF",1,"Ogaden",1998,2001,1,3,"01-Jan-96",7,"01-Jan-96",7,"530","","530",4,7.5,45,300,1.1
"365",234001975,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1975,1978,3,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"365.1",234001975,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1975,1978,3,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"365.2",234001975,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1975,1978,3,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"365.3",234001975,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1975,1978,3,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366.1",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366.2",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366.3",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366.4",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366.5",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366.6",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366.7",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366.8",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366.9",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"366.10",234001979,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1979,1989,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"367",234001992,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1992,1992,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"368",234001997,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1997,1998,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"368.1",234001997,2340,0,"Indonesia","Indonesia","Fretilin",1,"East Timor",1997,1998,2,3,"07-Dec-75",1,"07-Dec-75",1,"850","","850",3,-9,126,150,1.1
"369",235001975,2350,0,"Morocco","Morocco, Mauritania","POLISARIO",1,"Western Sahara",1975,1979,3,4,"20-Jan-75",1,"20-Jan-75",1,"600,435","","600",4,25,-14,500,1.1
"369.1",235001975,2350,0,"Morocco","Morocco, Mauritania","POLISARIO",1,"Western Sahara",1975,1979,3,4,"20-Jan-75",1,"20-Jan-75",1,"600,435","","600",4,25,-14,500,1.1
"369.2",235001975,2350,0,"Morocco","Morocco, Mauritania","POLISARIO",1,"Western Sahara",1975,1979,3,4,"20-Jan-75",1,"20-Jan-75",1,"600,435","","600",4,25,-14,500,1.1
"369.3",235001975,2350,0,"Morocco","Morocco, Mauritania","POLISARIO",1,"Western Sahara",1975,1979,3,4,"20-Jan-75",1,"20-Jan-75",1,"600,435","","600",4,25,-14,500,1.1
"369.4",235001975,2350,0,"Morocco","Morocco, Mauritania","POLISARIO",1,"Western Sahara",1975,1979,3,4,"20-Jan-75",1,"20-Jan-75",1,"600,435","","600",4,25,-14,500,1.1
"370",235011980,2350,1,"Morocco","Morocco","POLISARIO",1,"Western Sahara",1980,1980,3,3,"20-Jan-75",1,"20-Jan-75",1,"600","","600",4,25,-14,500,1.1
"371",235011981,2350,1,"Morocco","Morocco","POLISARIO",1,"Western Sahara",1981,1989,2,3,"20-Jan-75",1,"20-Jan-75",1,"600","","600",4,25,-14,500,1.1
"371.1",235011981,2350,1,"Morocco","Morocco","POLISARIO",1,"Western Sahara",1981,1989,2,3,"20-Jan-75",1,"20-Jan-75",1,"600","","600",4,25,-14,500,1.1
"371.2",235011981,2350,1,"Morocco","Morocco","POLISARIO",1,"Western Sahara",1981,1989,2,3,"20-Jan-75",1,"20-Jan-75",1,"600","","600",4,25,-14,500,1.1
"371.3",235011981,2350,1,"Morocco","Morocco","POLISARIO",1,"Western Sahara",1981,1989,2,3,"20-Jan-75",1,"20-Jan-75",1,"600","","600",4,25,-14,500,1.1
"371.4",235011981,2350,1,"Morocco","Morocco","POLISARIO",1,"Western Sahara",1981,1989,2,3,"20-Jan-75",1,"20-Jan-75",1,"600","","600",4,25,-14,500,1.1
"371.5",235011981,2350,1,"Morocco","Morocco","POLISARIO",1,"Western Sahara",1981,1989,2,3,"20-Jan-75",1,"20-Jan-75",1,"600","","600",4,25,-14,500,1.1
"371.6",235011981,2350,1,"Morocco","Morocco","POLISARIO",1,"Western Sahara",1981,1989,2,3,"20-Jan-75",1,"20-Jan-75",1,"600","","600",4,25,-14,500,1.1
"371.7",235011981,2350,1,"Morocco","Morocco","POLISARIO",1,"Western Sahara",1981,1989,2,3,"20-Jan-75",1,"20-Jan-75",1,"600","","600",4,25,-14,500,1.1
"371.8",235011981,2350,1,"Morocco","Morocco","POLISARIO",1,"Western Sahara",1981,1989,2,3,"20-Jan-75",1,"20-Jan-75",1,"600","","600",4,25,-14,500,1.1
"372",236001976,2360,0,"Mozambique","Mozambique","Renamo",2,"",1976,1980,1,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-15.5,36.5,650,1.1
"372.1",236001976,2360,0,"Mozambique","Mozambique","Renamo",2,"",1976,1980,1,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-15.5,36.5,650,1.1
"372.2",236001976,2360,0,"Mozambique","Mozambique","Renamo",2,"",1976,1980,1,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-15.5,36.5,650,1.1
"372.3",236001976,2360,0,"Mozambique","Mozambique","Renamo",2,"",1976,1980,1,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-15.5,36.5,650,1.1
"372.4",236001976,2360,0,"Mozambique","Mozambique","Renamo",2,"",1976,1980,1,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-15.5,36.5,650,1.1
"373",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.1",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.2",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.3",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.4",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.5",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.6",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.7",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.8",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.9",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.10",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"373.11",236001981,2360,0,"Mozambique","Mozambique","Renamo",2,"",1981,1992,3,3,"01-Jan-76",6,"01-Jan-76",6,"541","","541",4,-20,35,800,1.1
"374",237001978,2370,0,"Afghanistan","Afghanistan","Various organizations",2,"",1978,1978,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.1",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.2",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.3",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.4",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.5",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.6",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.7",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.8",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.9",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.10",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.11",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"375.12",237021989,2370,2,"Afghanistan","Afghanistan","Various organizations",2,"",1989,2001,3,3,"27-Apr-78",1,"27-Apr-78",1,"700","","700",3,35,67,600,1.1
"376",238001978,2380,0,"China - Vietnam","China","Vietnam",1,"Common Border",1978,1978,1,2,"19-Jan-74",1,"01-Jan-78",11,"710","816","710,816",3,23,105,200,1.1
"377",238001979,2380,0,"China - Vietnam","China","Vietnam",1,"Common Border",1979,1979,3,2,"19-Jan-74",1,"01-Jan-78",11,"710","816","710,816",3,23,105,200,1.1
"378",238001980,2380,0,"China - Vietnam","China","Vietnam",1,"Common Border",1980,1981,2,2,"19-Jan-74",1,"01-Jan-78",11,"710","816","710,816",3,23,105,200,1.1
"378.1",238001980,2380,0,"China - Vietnam","China","Vietnam",1,"Common Border",1980,1981,2,2,"19-Jan-74",1,"01-Jan-78",11,"710","816","710,816",3,23,105,200,1.1
"379",238001983,2380,0,"China - Vietnam","China","Vietnam",1,"Common Border",1983,1984,2,2,"19-Jan-74",1,"01-Jan-78",11,"710","816","710,816",3,23,105,350,1.1
"379.1",238001983,2380,0,"China - Vietnam","China","Vietnam",1,"Common Border",1983,1984,2,2,"19-Jan-74",1,"01-Jan-78",11,"710","816","710,816",3,23,105,350,1.1
"380",238001986,2380,0,"China - Vietnam","China","Vietnam",1,"Common Border",1986,1988,2,2,"19-Jan-74",1,"01-Jan-78",11,"710","816","710,816",3,23,105,350,1.1
"380.1",238001986,2380,0,"China - Vietnam","China","Vietnam",1,"Common Border",1986,1988,2,2,"19-Jan-74",1,"01-Jan-78",11,"710","816","710,816",3,23,105,350,1.1
"380.2",238001986,2380,0,"China - Vietnam","China","Vietnam",1,"Common Border",1986,1988,2,2,"19-Jan-74",1,"01-Jan-78",11,"710","816","710,816",3,23,105,350,1.1
"381",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"381.1",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"381.2",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"381.3",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"381.4",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"381.5",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"381.6",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"381.7",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"381.8",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"381.9",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"381.10",239001978,2390,0,"India","India","TNV",1,"Tripura",1978,1988,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"382",239001993,2390,0,"India","India","ATTF",1,"Tripura",1993,1993,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"383",239001995,2390,0,"India","India","ATTF, NLFT",1,"Tripura",1995,2001,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"383.1",239001995,2390,0,"India","India","ATTF, NLFT",1,"Tripura",1995,2001,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"383.2",239001995,2390,0,"India","India","ATTF, NLFT",1,"Tripura",1995,2001,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"383.3",239001995,2390,0,"India","India","ATTF, NLFT",1,"Tripura",1995,2001,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"383.4",239001995,2390,0,"India","India","ATTF, NLFT",1,"Tripura",1995,2001,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"383.5",239001995,2390,0,"India","India","ATTF, NLFT",1,"Tripura",1995,2001,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"383.6",239001995,2390,0,"India","India","ATTF, NLFT",1,"Tripura",1995,2001,1,3,"01-Jan-78",4,"01-Jan-78",4,"750","","750",3,24,92,100,1.1
"384",240001978,2400,0,"Nicaragua","Nicaragua","FSLN",2,"",1978,1979,3,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"384.1",240001978,2400,0,"Nicaragua","Nicaragua","FSLN",2,"",1978,1979,3,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"385",240001981,2400,1,"Nicaragua","Nicaragua","Contras",2,"",1981,1982,1,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"385.1",240001981,2400,1,"Nicaragua","Nicaragua","Contras",2,"",1981,1982,1,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"386",240001983,2400,1,"Nicaragua","Nicaragua","Contras",2,"",1983,1988,3,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"386.1",240001983,2400,1,"Nicaragua","Nicaragua","Contras",2,"",1983,1988,3,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"386.2",240001983,2400,1,"Nicaragua","Nicaragua","Contras",2,"",1983,1988,3,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"386.3",240001983,2400,1,"Nicaragua","Nicaragua","Contras",2,"",1983,1988,3,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"386.4",240001983,2400,1,"Nicaragua","Nicaragua","Contras",2,"",1983,1988,3,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"386.5",240001983,2400,1,"Nicaragua","Nicaragua","Contras",2,"",1983,1988,3,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"387",240001989,2400,1,"Nicaragua","Nicaragua","FDN or Contras",2,"",1989,1989,2,3,"27-Dec-74",2,"01-Jan-78",11,"93","","93",5,13,-85,300,1.1
"388",241001978,2410,0,"Somalia","Somalia","Military faction",2,"",1978,1978,1,3,"09-Apr-78",1,"09-Apr-78",1,"520","","520",4,2.03,45.37,50,1.1
"389",241001981,2410,0,"Somalia","Somalia","SSDF , SNM, SPM",2,"",1981,1986,1,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"389.1",241001981,2410,0,"Somalia","Somalia","SSDF , SNM, SPM",2,"",1981,1986,1,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"389.2",241001981,2410,0,"Somalia","Somalia","SSDF , SNM, SPM",2,"",1981,1986,1,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"389.3",241001981,2410,0,"Somalia","Somalia","SSDF , SNM, SPM",2,"",1981,1986,1,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"389.4",241001981,2410,0,"Somalia","Somalia","SSDF , SNM, SPM",2,"",1981,1986,1,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"389.5",241001981,2410,0,"Somalia","Somalia","SSDF , SNM, SPM",2,"",1981,1986,1,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"390",241001987,2410,0,"Somalia","Somalia","SSDF , SNM, SPM",2,"",1987,1988,2,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,10,46,350,1.1
"390.1",241001987,2410,0,"Somalia","Somalia","SSDF , SNM, SPM",2,"",1987,1988,2,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,10,46,350,1.1
"391",241001989,2410,0,"Somalia","Somalia","SNM , Military faction , SSDF , USC, USC faction",2,"",1989,1992,3,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"391.1",241001989,2410,0,"Somalia","Somalia","SNM , Military faction , SSDF , USC, USC faction",2,"",1989,1992,3,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"391.2",241001989,2410,0,"Somalia","Somalia","SNM , Military faction , SSDF , USC, USC faction",2,"",1989,1992,3,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"391.3",241001989,2410,0,"Somalia","Somalia","SNM , Military faction , SSDF , USC, USC faction",2,"",1989,1992,3,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"392",241001993,2410,0,"Somalia","Somalia","SNM , Military faction , SSDF , USC, USC faction",2,"",1993,1996,2,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"392.1",241001993,2410,0,"Somalia","Somalia","SNM , Military faction , SSDF , USC, USC faction",2,"",1993,1996,2,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"392.2",241001993,2410,0,"Somalia","Somalia","SNM , Military faction , SSDF , USC, USC faction",2,"",1993,1996,2,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"392.3",241001993,2410,0,"Somalia","Somalia","SNM , Military faction , SSDF , USC, USC faction",2,"",1993,1996,2,3,"01-Jan-80",4,"01-Jan-81",11,"520","","520",4,5,45,900,1.1
"393",242011979,2370,1,"Afghanistan","Afghanistan, Soviet Union","Various organizations",2,"",1979,1988,3,4,"27-Dec-79",1,"27-Dec-79",1,"700,365","","700",3,35,67,600,1.1
"393.1",242011979,2370,1,"Afghanistan","Afghanistan, Soviet Union","Various organizations",2,"",1979,1988,3,4,"27-Dec-79",1,"27-Dec-79",1,"700,365","","700",3,35,67,600,1.1
"393.2",242011979,2370,1,"Afghanistan","Afghanistan, Soviet Union","Various organizations",2,"",1979,1988,3,4,"27-Dec-79",1,"27-Dec-79",1,"700,365","","700",3,35,67,600,1.1
"393.3",242011979,2370,1,"Afghanistan","Afghanistan, Soviet Union","Various organizations",2,"",1979,1988,3,4,"27-Dec-79",1,"27-Dec-79",1,"700,365","","700",3,35,67,600,1.1
"393.4",242011979,2370,1,"Afghanistan","Afghanistan, Soviet Union","Various organizations",2,"",1979,1988,3,4,"27-Dec-79",1,"27-Dec-79",1,"700,365","","700",3,35,67,600,1.1
"393.5",242011979,2370,1,"Afghanistan","Afghanistan, Soviet Union","Various organizations",2,"",1979,1988,3,4,"27-Dec-79",1,"27-Dec-79",1,"700,365","","700",3,35,67,600,1.1
"393.6",242011979,2370,1,"Afghanistan","Afghanistan, Soviet Union","Various organizations",2,"",1979,1988,3,4,"27-Dec-79",1,"27-Dec-79",1,"700,365","","700",3,35,67,600,1.1
"393.7",242011979,2370,1,"Afghanistan","Afghanistan, Soviet Union","Various organizations",2,"",1979,1988,3,4,"27-Dec-79",1,"27-Dec-79",1,"700,365","","700",3,35,67,600,1.1
"393.8",242011979,2370,1,"Afghanistan","Afghanistan, Soviet Union","Various organizations",2,"",1979,1988,3,4,"27-Dec-79",1,"27-Dec-79",1,"700,365","","700",3,35,67,600,1.1
"393.9",242011979,2370,1,"Afghanistan","Afghanistan, Soviet Union","Various organizations",2,"",1979,1988,3,4,"27-Dec-79",1,"27-Dec-79",1,"700,365","","700",3,35,67,600,1.1
"394",243001979,2430,0,"Equatorial Guinea","Equatorial Guinea","Military faction",2,"",1979,1979,1,3,"03-Aug-79",1,"03-Aug-79",1,"411","","411",4,1.5,10,100,1.1
"395",244001979,2440,0,"Iran","Iran","Mujahideen e Khalq",2,"",1979,1980,1,3,"01-Jan-79",5,"01-Jan-79",5,"630","","630",2,34,46,200,1.1
"395.1",244001979,2440,0,"Iran","Iran","Mujahideen e Khalq",2,"",1979,1980,1,3,"01-Jan-79",5,"01-Jan-79",5,"630","","630",2,34,46,200,1.1
"396",244001981,2440,0,"Iran","Iran","Mujahideen e Khalq",2,"",1981,1982,3,3,"01-Jan-79",5,"01-Jan-79",5,"630","","630",2,34,46,200,1.1
